Folder,Filename,QuestionID,Type,Prompt,Choices,Correct
pk-L1,q1.png,pk-L1-P1,practice,"Find the letter A","A | B | D | F",A
pk-L1,q2.png,pk-L1-P2,practice,"Which letter starts 'Cat'?","D | C | B | E",C
pk-L1,q3.png,pk-L1-P3,practice,"Find the letter that looks like a mountain","C | D | A | F",A
pk-L1,q4.png,pk-L1-P4,practice,"Which letter starts 'Dog'?","B | F | D | A",D
pk-L1,q5.png,pk-L1-P5,practice,"Find the letter with three arms","F | E | B | C",E
pk-L1,rq1.png,pk-L1-R1,reading,"What letter is for Apple?","B | A | C | D",A
pk-L1,rq2.png,pk-L1-R2,reading,"What animal goes with the letter C?","Dog | Fish | Cat | Elephant",Cat
pk-L1,rq3.png,pk-L1-R3,reading,"How many letters did we learn?","4 | 5 | 6 | 7",6
pk-L2,q1.png,pk-L2-P1,practice,"Find the letter with a hook at the bottom","L | I | J | G",J
pk-L2,q2.png,pk-L2-P2,practice,"Which letter starts 'House'?","G | H | K | I",H
pk-L2,q3.png,pk-L2-P3,practice,"Find the letter L","I | J | L | K",L
pk-L2,q4.png,pk-L2-P4,practice,"Which letter is like C with a shelf?","H | G | J | K",G
pk-L2,q5.png,pk-L2-P5,practice,"Which letter starts 'Kite'?","K | L | H | I",K
pk-L2,rq1.png,pk-L2-R1,reading,"What is G for?","Grapes | House | Juice | Kite",Grapes
pk-L2,rq2.png,pk-L2-R2,reading,"What flies high in the sky?","Lion | Ice cream | Kite | House",Kite
pk-L2,rq3.png,pk-L2-R3,reading,"Which letter is for something you drink?","G | J | K | L",J
pk-L3,q1.png,pk-L3-P1,practice,"Which starts like 'ball'?","bat | cat | sun | top",bat
pk-L3,q2.png,pk-L3-P2,practice,"Which starts like 'moon'?","sun | mom | top | ball",mom
pk-L3,q3.png,pk-L3-P3,practice,"Which starts like 'sun'?","ball | moon | star | tiger",star
pk-L3,q4.png,pk-L3-P4,practice,"Which starts like 'top'?","tree | ball | snake | mouse",tree
pk-L3,q5.png,pk-L3-P5,practice,"Which starts like 'bear'?","star | moon | boat | top",boat
pk-L3,rq1.png,pk-L3-R1,reading,"What sound does Bear hear?","/b/ | /m/ | /s/ | /t/",/b/
pk-L3,rq2.png,pk-L3-R2,reading,"Who hears the /m/ sound?","Bear | Snake | Mouse | Tiger",Mouse
pk-L3,rq3.png,pk-L3-R3,reading,"What is one of Snake's /s/ words?","Ball | Moon | Sun | Bat",Sun
pk-L4,q1.png,pk-L4-P1,practice,"What rhymes with 'cat'?","dog | hat | cup | sun",hat
pk-L4,q2.png,pk-L4-P2,practice,"What rhymes with 'bug'?","big | bag | hug | bed",hug
pk-L4,q3.png,pk-L4-P3,practice,"What rhymes with 'hop'?","hat | hot | top | hug",top
pk-L4,q4.png,pk-L4-P4,practice,"What rhymes with 'bed'?","bad | bid | red | rug",red
pk-L4,q5.png,pk-L4-P5,practice,"What rhymes with 'mug'?","mop | rug | mat | red",rug
pk-L4,rq1.png,pk-L4-R1,reading,"What did Cat sit on?","A rug | A mat | A bed | A mop",A mat
pk-L4,rq2.png,pk-L4-R2,reading,"What did Bug give Cat?","A hat | A mug | A hug | A bat",A hug
pk-L4,rq3.png,pk-L4-R3,reading,"Which word rhymes with 'hug'?","hat | rug | hop | bed",rug
pk-L5,q1.png,pk-L5-P1,practice,"Which is the lowercase of A?","b | d | a | m",a
pk-L5,q2.png,pk-L5-P2,practice,"Which is the uppercase of b?","D | B | A | M",B
pk-L5,q3.png,pk-L5-P3,practice,"Which is the lowercase of D?","b | a | d | s",d
pk-L5,q4.png,pk-L5-P4,practice,"Which is the uppercase of m?","M | B | D | S",M
pk-L5,q5.png,pk-L5-P5,practice,"Which is the lowercase of S?","a | s | m | d",s
pk-L5,rq1.png,pk-L5-R1,reading,"What is Big A compared to?","A pebble | A mountain | A ball | A star",A mountain
pk-L5,rq2.png,pk-L5-R2,reading,"How many bumps does Big B have?","1 | 2 | 3 | 0",2
pk-L5,rq3.png,pk-L5-R3,reading,"Every letter has a what?","A friend | A color | A twin | A number",A twin
pk-L6,q1.png,pk-L6-P1,practice,"Find the letter with two humps","N | M | P | R",M
pk-L6,q2.png,pk-L6-P2,practice,"Which letter is a perfect circle?","Q | P | O | R",O
pk-L6,q3.png,pk-L6-P3,practice,"Which letter starts 'Penguin'?","Q | R | N | P",P
pk-L6,q4.png,pk-L6-P4,practice,"Which letter has a little tail?","O | Q | P | M",Q
pk-L6,q5.png,pk-L6-P5,practice,"Which letter starts 'Rocket'?","P | N | R | M",R
pk-L6,rq1.png,pk-L6-R1,reading,"Which letter is for something round?","M | O | P | R",O
pk-L6,rq2.png,pk-L6-R2,reading,"What does the queen wear?","A hat | A crown | A scarf | Glasses",A crown
pk-L6,rq3.png,pk-L6-R3,reading,"Which way does the rocket go?","Down | Left | Up | Sideways",Up
pk-L7,q1.png,pk-L7-P1,practice,"Which letter curves like a snake?","Z | S | W | V",S
pk-L7,q2.png,pk-L7-P2,practice,"Which letter is two V's together?","X | Y | W | U",W
pk-L7,q3.png,pk-L7-P3,practice,"Which letter starts 'Zebra'?","S | X | Y | Z",Z
pk-L7,q4.png,pk-L7-P4,practice,"Which letter looks like a cup?","V | U | W | Y",U
pk-L7,q5.png,pk-L7-P5,practice,"Which letter has two crossing lines?","T | Y | X | V",X
pk-L7,rq1.png,pk-L7-R1,reading,"What is the very last letter?","X | Y | Z | W",Z
pk-L7,rq2.png,pk-L7-R2,reading,"What is the biggest animal mentioned?","Zebra | Whale | Bird | Snake",Whale
pk-L7,rq3.png,pk-L7-R3,reading,"How many letters are in the whole alphabet?","20 | 24 | 26 | 30",26
k-L1,q1.png,k-L1-P1,practice,"What sound does B make?","/b/ like bat | /d/ like dog | /g/ like goat | /h/ like hat",/b/ like bat
k-L1,q2.png,k-L1-P2,practice,"What sound does F make?","/b/ like bat | /f/ like fan | /g/ like goat | /h/ like hat",/f/ like fan
k-L1,q3.png,k-L1-P3,practice,"Which letter makes the /d/ sound?","B | G | D | H",D
k-L1,q4.png,k-L1-P4,practice,"Which letter makes the /k/ sound?","G | D | F | C",C
k-L1,q5.png,k-L1-P5,practice,"What sound does G make?","/f/ | /g/ | /b/ | /d/",/g/
k-L1,rq1.png,k-L1-R1,reading,"What does B play?","Flute | Drum | Guitar | Piano",Drum
k-L1,rq2.png,k-L1-R2,reading,"Which letter blows the flute?","B | D | F | G",F
k-L1,rq3.png,k-L1-R3,reading,"What sound does G make on the guitar?","Boom | Da | Ffff | Guh",Guh
k-L2,q1.png,k-L2-P1,practice,"What vowel sound is in 'cat'?","Short A | Short E | Short I | Short O",Short A
k-L2,q2.png,k-L2-P2,practice,"What vowel sound is in 'pig'?","Short A | Short I | Short O | Short U",Short I
k-L2,q3.png,k-L2-P3,practice,"What vowel sound is in 'dog'?","Short A | Short E | Short O | Short U",Short O
k-L2,q4.png,k-L2-P4,practice,"What vowel sound is in 'bed'?","Short A | Short E | Short I | Short O",Short E
k-L2,q5.png,k-L2-P5,practice,"What vowel sound is in 'cup'?","Short E | Short I | Short O | Short U",Short U
k-L2,rq1.png,k-L2-R1,reading,"How many vowel friends are there?","3 | 4 | 5 | 6",5
k-L2,rq2.png,k-L2-R2,reading,"Which friend has the /ŏ/ sound?","Ant | Elf | Ox | Up",Ox
k-L2,rq3.png,k-L2-R3,reading,"What do the vowels say about themselves?","They are big | Every word needs them | They like to play | They are fast",Every word needs them
k-L3,q1.png,k-L3-P1,practice,"/c/ + /a/ + /t/ = ?","cat | cut | cot | cap",cat
k-L3,q2.png,k-L3-P2,practice,"/d/ + /o/ + /g/ = ?","dig | dug | dog | dot",dog
k-L3,q3.png,k-L3-P3,practice,"/s/ + /u/ + /n/ = ?","sin | son | sun | sat",sun
k-L3,q4.png,k-L3-P4,practice,"/p/ + /i/ + /g/ = ?","pug | peg | pig | pag",pig
k-L3,q5.png,k-L3-P5,practice,"/b/ + /e/ + /d/ = ?","bad | bid | bud | bed",bed
k-L3,rq1.png,k-L3-R1,reading,"What pets does Sam have?","A cat and a pig | A cat and a dog | A dog and a bug | A pig and a hen",A cat and a dog
k-L3,rq2.png,k-L3-R2,reading,"Where did the cat sit?","In the sun | On a mat | In the mud | On Sam",On a mat
k-L3,rq3.png,k-L3-R3,reading,"What did the dog do?","Sat on a mat | Dug in the mud | Ran away | Ate a bug",Dug in the mud
k-L4,q1.png,k-L4-P1,practice,"Which word is 'the'?","the | teh | hte | eth",the
k-L4,q2.png,k-L4-P2,practice,"Fill in: ___ like to run.","A | I | Is | The",I
k-L4,q3.png,k-L4-P3,practice,"Fill in: I see ___ cat.","is | and | I | a",a
k-L4,q4.png,k-L4-P4,practice,"Fill in: The dog ___ big.","a | and | is | I",is
k-L4,q5.png,k-L4-P5,practice,"Fill in: A cat ___ a dog.","the | is | and | a",and
k-L4,rq1.png,k-L4-R1,reading,"What does the child see first?","A cat | The sun | A dog | The moon",The sun
k-L4,rq2.png,k-L4-R2,reading,"What is the cat like?","Big | Soft | Fast | Small",Soft
k-L4,rq3.png,k-L4-R3,reading,"Do the cat and dog like the child?","Yes | No | Maybe | Only the cat",Yes
k-L5,q1.png,k-L5-P1,practice,"Change the 'c' in 'cat' to 'h'. What word?","hat | hot | hit | hut",hat
k-L5,q2.png,k-L5-P2,practice,"Change the 'c' in 'can' to 'r'. What word?","run | ran | rin | ron",ran
k-L5,q3.png,k-L5-P3,practice,"Change the 'b' in 'big' to 'p'. What word?","peg | pug | pig | pag",pig
k-L5,q4.png,k-L5-P4,practice,"Change the 'm' in 'mat' to 'b'. What word?","bit | bat | but | bot",bat
k-L5,q5.png,k-L5-P5,practice,"Change the 'f' in 'fan' to 'v'. What word?","van | vin | vun | von",van
k-L5,rq1.png,k-L5-R1,reading,"Who put on a hat?","Cat | Bat | Rat | Pat",Rat
k-L5,rq2.png,k-L5-R2,reading,"Where did they have the picnic?","On a hat | On a mat | In a van | On a bat",On a mat
k-L5,rq3.png,k-L5-R3,reading,"What word family are cat, rat, and bat in?","-an | -ig | -at | -ot",-at
k-L6,q1.png,k-L6-P1,practice,"How many syllables in 'cat'?","1 | 2 | 3 | 4",1
k-L6,q2.png,k-L6-P2,practice,"How many syllables in 'tiger'?","1 | 2 | 3 | 4",2
k-L6,q3.png,k-L6-P3,practice,"How many syllables in 'elephant'?","1 | 2 | 3 | 4",3
k-L6,q4.png,k-L6-P4,practice,"How many syllables in 'fish'?","1 | 2 | 3 | 4",1
k-L6,q5.png,k-L6-P5,practice,"How many syllables in 'banana'?","1 | 2 | 3 | 4",3
k-L6,rq1.png,k-L6-R1,reading,"How many claps for 'dog'?","1 | 2 | 3 | 4",1
k-L6,rq2.png,k-L6-R2,reading,"Which word has the most claps?","Dog | Monkey | Butterfly | Caterpillar",Caterpillar
k-L6,rq3.png,k-L6-R3,reading,"What are the beats in a word called?","Rhymes | Syllables | Letters | Sounds",Syllables
k-L7,q1.png,k-L7-P1,practice,"I go ___ school.","to | do | of | we",to
k-L7,q2.png,k-L7-P2,practice,"___ are my best friend.","She | My | You | We",You
k-L7,q3.png,k-L7-P3,practice,"This is ___ cat.","she | my | to | do",my
k-L7,q4.png,k-L7-P4,practice,"What ___ you want?","are | of | to | do",do
k-L7,q5.png,k-L7-P5,practice,"___ like to run and play.","My | Of | We | To",We
k-L7,rq1.png,k-L7-R1,reading,"Who is 'my best friend' in the story?","She | You | We | My sister",You
k-L7,rq2.png,k-L7-R2,reading,"Where do they go?","School | Home | The park | The shop",The park
k-L7,rq3.png,k-L7-R3,reading,"What do friends do?","Fight | Run away | Share | Sleep",Share
k-L8,q1.png,k-L8-P1,practice,"Which direction do we read?","Right to left | Left to right | Bottom to top | Any direction",Left to right
k-L8,q2.png,k-L8-P2,practice,"Where do we start reading on a page?","The bottom | The middle | The top | The right side",The top
k-L8,q3.png,k-L8-P3,practice,"Why do words have spaces between them?","To look pretty | So we know where each word starts and stops | Because the pen needs a rest | No reason",So we know where each word starts and stops
k-L8,q4.png,k-L8-P4,practice,"Which is correct?","Ilikefish | I like fish | I   like   fish | iLIKEfish",I like fish
k-L8,q5.png,k-L8-P5,practice,"What do letters make when put together?","Numbers | Pictures | Words | Colors",Words
k-L8,rq1.png,k-L8-R1,reading,"Where do you start reading?","Right side | Bottom | Left side at the top | The middle",Left side at the top
k-L8,rq2.png,k-L8-R2,reading,"What goes between words?","Lines | Dots | Spaces | Stars",Spaces
k-L8,rq3.png,k-L8-R3,reading,"What are words made of?","Numbers | Letters | Pictures | Colors",Letters
k-L9,rq1.png,k-L9-R1,reading,"What color was Sam's hat?","Blue | Red | Green | Yellow",Red
k-L9,rq2.png,k-L9-R2,reading,"Who sat on the mat?","Sam | The dog | The cat | The hen",The cat
k-L9,rq3.png,k-L9-R3,reading,"How did Sam feel at the end?","Sad | Mad | Glad | Scared",Glad
k-L10,rq1.png,k-L10-R1,reading,"Where is the hen?","In a box | In a pen | On a log | In the mud",In a pen
k-L10,rq2.png,k-L10-R2,reading,"What did the hen sit on?","A mat | A hat | Ten eggs | A box",Ten eggs
k-L10,rq3.png,k-L10-R3,reading,"What did Meg say to the hen?",""Run, hen, run!" | "You are the best hen!" | "Sit, hen, sit!" | "Come here, hen!"","You are the best hen!"
k-L11,rq1.png,k-L11-R1,reading,"What can Tim do?","Fly | Dig | Swim | Cook",Dig
k-L11,rq2.png,k-L11-R2,reading,"Where does Tim sit?","On a mat | On a log | In the mud | In a pen",In the mud
k-L11,rq3.png,k-L11-R3,reading,"Is Tim big?","Yes, Tim is big | No, Tim is not big | Tim is very big | Tim is the biggest",No, Tim is not big
k-L12,rq1.png,k-L12-R1,reading,"Where is the box?","On a mat | On a log | In the mud | On the bed",On a log
k-L12,rq2.png,k-L12-R2,reading,"What happened to the box?","It fell | It tipped | It broke | It ran away",It tipped
k-L12,rq3.png,k-L12-R3,reading,"What is in the box?","Rocks | Blocks | Socks | A fox",Socks
k-L13,rq1.png,k-L13-R1,reading,"Where does Bud run?","In the rain | In the sun | In the dark | In the snow",In the sun
k-L13,rq2.png,k-L13-R2,reading,"What did Bud jump in?","A pool | The mud | A box | The sand",The mud
k-L13,rq3.png,k-L13-R3,reading,"Who did Bud hug?","His mom | His cat | His pup | His hen",His pup
1-L1,q1.png,1-L1-P1,practice,"Which word starts with 'bl'?","blue | glue | clue | flue",blue
1-L1,q2.png,1-L1-P2,practice,"Which word starts with 'cl'?","flip | slip | clip | trip",clip
1-L1,q3.png,1-L1-P3,practice,"Which word starts with 'st'?","slop | stop | flop | drop",stop
1-L1,q4.png,1-L1-P4,practice,"Which word starts with 'tr'?","tree | free | three | bee",tree
1-L1,q5.png,1-L1-P5,practice,"Which word starts with 'fl'?","slow | glow | flow | blow",flow
1-L1,rq1.png,1-L1-R1,reading,"What blend starts 'Brad'?","bl | br | cl | fl",br
1-L1,rq2.png,1-L1-R2,reading,"What did Brad climb?","A slide | A tree | A flag | A truck",A tree
1-L1,rq3.png,1-L1-R3,reading,"What color was the flag?","Red | Green | Blue | Yellow",Blue
1-L2,q1.png,1-L2-P1,practice,"What digraph is in 'ship'?","ch | sh | th | wh",sh
1-L2,q2.png,1-L2-P2,practice,"What digraph is in 'cheese'?","sh | th | ch | wh",ch
1-L2,q3.png,1-L2-P3,practice,"What digraph is in 'bath'?","ch | wh | sh | th",th
1-L2,q4.png,1-L2-P4,practice,"What digraph is in 'when'?","sh | ch | th | wh",wh
1-L2,q5.png,1-L2-P5,practice,"Which word has the 'sh' sound?","chip | fish | thin | what",fish
1-L2,rq1.png,1-L2-R1,reading,"Where did Chad go?","The fish shop | The shell shop | The chip shop | The shoe shop",The shell shop
1-L2,rq2.png,1-L2-R2,reading,"What two things did Chad get?","Fish and chips | A shell and cheese | A bath and a ship | A hat and shoes",A shell and cheese
1-L2,rq3.png,1-L2-R3,reading,"What digraph starts 'Chad'?","sh | th | ch | wh",ch
1-L3,q1.png,1-L3-P1,practice,"Add E to 'cap'. What word?","cape | cap | cope | cup",cape
1-L3,q2.png,1-L3-P2,practice,"Add E to 'hop'. What word?","hop | hype | hope | hip",hope
1-L3,q3.png,1-L3-P3,practice,"Add E to 'cub'. What word?","cab | cube | cob | curb",cube
1-L3,q4.png,1-L3-P4,practice,"Add E to 'kit'. What word?","kite | kit | Kate | bite",kite
1-L3,q5.png,1-L3-P5,practice,"Which word has Magic E?","dog | hat | bike | cup",bike
1-L3,rq1.png,1-L3-R1,reading,"What did E find?","A hat | A cape | A kite | A cube",A cape
1-L3,rq2.png,1-L3-R2,reading,"What does Magic E do to vowels?","Makes them quiet | Makes them say their name | Makes them disappear | Makes them short",Makes them say their name
1-L3,rq3.png,1-L3-R3,reading,"What did 'kit' become?","Kate | Kite | Kit | Bite",Kite
1-L4,q1.png,1-L4-P1,practice,"Read: 'The frog jumped on the log.' What did the frog do?","Sat on a log | Jumped on a log | Swam in a log | Hid in a log",Jumped on a log
1-L4,q2.png,1-L4-P2,practice,"Read: 'Mom made a big cake for Jill.' Who is the cake for?","Dad | Mom | Jill | The dog",Jill
1-L4,q3.png,1-L4-P3,practice,"Read: 'The black cat slept on the bed.' Where did the cat sleep?","On the mat | In the box | On the bed | On the rug",On the bed
1-L4,q4.png,1-L4-P4,practice,"Read: 'Tom and Kim went to the shop.' How many people went?","1 | 2 | 3 | 4",2
1-L4,q5.png,1-L4-P5,practice,"Read: 'It is hot today. Let's get ice cream!' Why do they want ice cream?","It is cold | It is hot | It is raining | It is night",It is hot
1-L4,rq1.png,1-L4-R1,reading,"Where did Kim and Jack go?","The park | The beach | The shop | The school",The beach
1-L4,rq2.png,1-L4-R2,reading,"What did Jack make?","A shell | A boat | A sand castle | A flag",A sand castle
1-L4,rq3.png,1-L4-R3,reading,"How many shells did Kim find?","1 | 2 | 3 | 4",3
1-L5,q1.png,1-L5-P1,practice,"'Hello!' ___ the boy.","sad | said | sid | sayed",said
1-L5,q2.png,1-L5-P2,practice,"I ___ a big dog.","hav | has | have | hive",have
1-L5,q3.png,1-L5-P3,practice,"It ___ a rainy day.","was | waz | wus | were",was
1-L5,q4.png,1-L5-P4,practice,"___ went to the park.","Them | They | The | Then",They
1-L5,q5.png,1-L5-P5,practice,"___ play with me!","Came | Come | Comb | Some",Come
1-L5,rq1.png,1-L5-R1,reading,"Who said 'Come play!'?","Ben | Mia | Mom | Dad",Mia
1-L5,rq2.png,1-L5-R2,reading,"What do they have?","A kite and a bat | A ball and a rope | A book and a pen | A hat and a bag",A ball and a rope
1-L5,rq3.png,1-L5-R3,reading,"What sight word fills in: 'This ___ the best day'?","is | was | have | said",was
1-L6,q1.png,1-L6-P1,practice,"What kind of A is in 'cake'?","Short A | Long A",Long A
1-L6,q2.png,1-L6-P2,practice,"What kind of I is in 'pig'?","Short I | Long I",Short I
1-L6,q3.png,1-L6-P3,practice,"What kind of O is in 'bone'?","Short O | Long O",Long O
1-L6,q4.png,1-L6-P4,practice,"Which word has a LONG E?","bed | tree | pet | hen",tree
1-L6,q5.png,1-L6-P5,practice,"Which word has a SHORT U?","cute | flute | cup | use",cup
1-L6,rq1.png,1-L6-R1,reading,"What is Short A's sound like in...?","cake | cat | make | lake",cat
1-L6,rq2.png,1-L6-R2,reading,"Does Long I sound like 'pig' or 'bike'?","pig | bike",bike
1-L6,rq3.png,1-L6-R3,reading,"How many sounds does each vowel have?","1 | 2 | 3 | 4",2
1-L7,q1.png,1-L7-P1,practice,"Split 'sunset' into two parts:","su + nset | sun + set | suns + et | s + unset",sun + set
1-L7,q2.png,1-L7-P2,practice,"Split 'kitten' into two parts:","ki + tten | kit + ten | k + itten | kitte + n",kit + ten
1-L7,q3.png,1-L7-P3,practice,"Split 'rabbit' into two parts:","ra + bbit | rab + bit | r + abbit | rabbi + t",rab + bit
1-L7,q4.png,1-L7-P4,practice,"How many syllables in 'napkin'?","1 | 2 | 3 | 4",2
1-L7,q5.png,1-L7-P5,practice,"Every syllable must have a:","Consonant | Vowel | Blend | Digraph",Vowel
1-L7,rq1.png,1-L7-R1,reading,"Where was the kitten?","In a box | In a basket | On a bed | In a tree",In a basket
1-L7,rq2.png,1-L7-R2,reading,"How many syllables in 'ribbon'?","1 | 2 | 3 | 4",2
1-L7,rq3.png,1-L7-R3,reading,"What did Max do to read big words?","Guessed | Skipped them | Broke them into parts | Asked for help",Broke them into parts
1-L8,q1.png,1-L8-P1,practice,"One cat, two ___","cats | cating | cated | cates",cats
1-L8,q2.png,1-L8-P2,practice,"One box, two ___","boxs | boxes | boxing | boxed",boxes
1-L8,q3.png,1-L8-P3,practice,"She is ___ right now. (run)","runs | runned | running | runed",running
1-L8,q4.png,1-L8-P4,practice,"Yesterday, I ___ to school. (walk)","walks | walking | walked | walkes",walked
1-L8,q5.png,1-L8-P5,practice,"He ___ over the puddle. (jump + already happened)","jumps | jumping | jumped | jumpes",jumped
1-L8,rq1.png,1-L8-R1,reading,"What ending means 'more than one'?","-ing | -ed | -s or -es | -ly",-s or -es
1-L8,rq2.png,1-L8-R2,reading,"What are the dogs doing? (What ending tells you?)","Running (-ing = happening now) | Runned (-ed = past) | Runs (-s = more than one) | Run (no ending)",Running (-ing = happening now)
1-L8,rq3.png,1-L8-R3,reading,"What did Ben do after lunch?","Jumped | Washed dishes | Read a book | Ran in the park",Washed dishes
2-L1,q1.png,2-L1-P1,practice,"R___N (it falls from the sky)","rain (ai) | rayn (ay)",rain (ai)
2-L1,q2.png,2-L1-P2,practice,"PL___ (to have fun)","plai | play (ay)",play (ay)
2-L1,q3.png,2-L1-P3,practice,"TR___N (choo choo!)","train (ai) | trayn (ay)",train (ai)
2-L1,q4.png,2-L1-P4,practice,"D___ (24 hours)","dai | day (ay)",day (ay)
2-L1,q5.png,2-L1-P5,practice,"P___NT (art class!)","paint (ai) | paynt (ay)",paint (ai)
