grade,folder,standard_id,question_id,type,expected_path,tts_script
K,kindergarten,RL.K.1,RL.K.1-Q3,multiple_choice,audio/kindergarten/RL.K.1/RL.K.1-Q3.mp3,"Why did Emma's mom make a chocolate cake?

Emma was hungry.... It was Emma's birthday.... It was a sunny day.... She liked to bake."
K,kindergarten,RL.K.2,RL.K.2-Q1,multiple_choice,audio/kindergarten/RL.K.2/RL.K.2-Q1.mp3,"What did Bear do right after he felt hungry?

He ate the honey.... He looked in a tree.... He felt happy.... He found some berries."
K,kindergarten,RL.K.2,RL.K.2-Q2,multiple_choice,audio/kindergarten/RL.K.2/RL.K.2-Q2.mp3,"Why did Frog get on the lily pad?

A. To find a new home.... B. To get to the other side.... C. To eat a snack.... D. To take a nap."
K,kindergarten,RL.K.2,RL.K.2-Q3,multiple_choice,audio/kindergarten/RL.K.2/RL.K.2-Q3.mp3,"What was Mia's problem in the story?

She shared her sandwich with Leo.... She forgot her lunch at home.... She didn't like her friend Leo.... She wanted to eat alone."
K,kindergarten,RL.K.2,RL.K.2-Q4,multiple_choice,audio/kindergarten/RL.K.2/RL.K.2-Q4.mp3,"How did Turtle win the race?

Rabbit did not want to win.... Turtle ran very fast.... Rabbit stopped to rest.... Turtle kept walking when Rabbit took a nap."
K,kindergarten,RL.K.4,RL.K.4-Q3,multiple_choice,audio/kindergarten/RL.K.4/RL.K.4-Q3.mp3,"The boat DRIFTED across the calm lake. What does DRIFTED tell us about how the boat moved?

A. It stopped and stayed still.... B. It floated gently with the water.... C. It moved quickly with a motor.... D. It went down into the lake."
K,kindergarten,RL.K.5,RL.K.5-Q4,multiple_choice,audio/kindergarten/RL.K.5/RL.K.5-Q4.mp3,"Read the text: ""I like bugs / Big bugs, small bugs / Crawly bugs, tall bugs / I like bugs a lot!"" What makes this text sound like a poem?

It tells you how to make something.... It has words that rhyme.... It tells a long story about bugs.... It teaches you facts about bugs."
K,kindergarten,RL.K.6,RL.K.6-Q3,multiple_choice,audio/kindergarten/RL.K.6/RL.K.6-Q3.mp3,"A book cover says: ""Written by Maria Lopez. Illustrated by James Park.""

How did Maria Lopez and James Park help make this book?

Maria Lopez wrote the story, and James Park drew the pictures.... They both helped to print the book.... Maria Lopez drew the pictures, and James Park wrote the story.... They both helped to read the book."
K,kindergarten,RL.K.7,RL.K.7-Q2,multiple_choice,audio/kindergarten/RL.K.7/RL.K.7-Q2.mp3,"The story says, ""It was snowing outside."" If a picture showed a child wearing a warm hat and gloves, what does the picture help us know about the story?

The child is playing inside.... It is springtime.... It is cold outside.... The child is going to sleep."
K,kindergarten,RI.K.3,RI.K.3-Q2,multiple_choice,audio/kindergarten/RI.K.3/RI.K.3-Q2.mp3,"What does the passage help us understand about how water and ice are connected?

Ice only gets colder and never melts.... Water and ice are always separate and never change into one another.... Water can become ice, and ice can become water again.... Only cold things can be water, and only warm things can be ice."
K,kindergarten,RI.K.3,RI.K.3-Q5,multiple_choice,audio/kindergarten/RI.K.3/RI.K.3-Q5.mp3,"The passage says a seed needs water and sun. How are water and sun important for the seed?

They make the seed smaller and smaller.... They help the seed fly high in the sky.... They make the flower fall off quickly.... They help the seed start to grow roots and a stem."
K,kindergarten,RI.K.4,RI.K.4-Q3,multiple_choice,audio/kindergarten/RI.K.4/RI.K.4-Q3.mp3,"The climbers worked hard to reach the mountain's peak. It was very cold and windy at the top, and they could see for miles!

The side of the mountain... A small tree on the mountain... The highest part of the mountain... A cave inside the mountain"
K,kindergarten,RI.K.5,RI.K.5-Q10,multiple_choice,audio/kindergarten/RI.K.5/RI.K.5-Q10.mp3,"You have just opened a book past its front cover. What do you call the very first paper page inside that tells you the book's title and who wrote it?

The back cover... The story pages... The last page... The title page"
K,kindergarten,RI.K.8,RI.K.8-Q4,multiple_choice,audio/kindergarten/RI.K.8/RI.K.8-Q4.mp3,"Based on the story, which reason tells us why dogs make great pets?

Dogs like to eat bones.... Dogs need to drink water.... Dogs are loyal.... Dogs can run very fast."
K,kindergarten,RI.K.9,RI.K.9-Q1,multiple_choice,audio/kindergarten/RI.K.9/RI.K.9-Q1.mp3,"What is one way the books tell us different things about cats?

Both books say cats are soft.... Book 1 says cats are fluffy, but Book 2 says they are playful.... Book 1 says cats like to sleep, but Book 2 says they like to chase toys.... Both books say cats like to sleep a lot."
K,kindergarten,RF.K.1a,RF.K.1a-Q1,multiple_choice,audio/kindergarten/RF.K.1a/RF.K.1a-Q1.mp3,"After you have read all the words on one page of your book, what is the best way to find the next part of the story?

Close the book and pick a new one.... Turn to the next page to continue reading.... Read the same page again from the beginning.... Look for words in the middle of the page you just finished."
K,kindergarten,RF.K.1a,RF.K.1a-Q4,multiple_choice,audio/kindergarten/RF.K.1a/RF.K.1a-Q4.mp3,"Imagine you are reading these words in a book: The little bird flew to its nest. If you just finished reading the word 'bird' on the first line, which word should you read next?

little... flew... nest... its"
K,kindergarten,RF.K.1c,RF.K.1c-Q1,space_insertion,audio/kindergarten/RF.K.1c/RF.K.1c-Q1.mp3,Tap between letters to add spaces to make the sentence correct.
K,kindergarten,RF.K.1c,RF.K.1c-Q3,multiple_choice,audio/kindergarten/RF.K.1c/RF.K.1c-Q3.mp3,"Look at these words: ""thecat sat"". This is not quite right. Which choice shows all the words separated correctly?

thecatsat... theca tsat... thecat sat... the cat sat"
K,kindergarten,RF.K.1c,RF.K.1c-Q4,multiple_choice,audio/kindergarten/RF.K.1c/RF.K.1c-Q4.mp3,"The words ""I am happy"" are written like this: ""Iamhappy."" Which choice shows the words with the correct spaces?

Iam happy.... I amhappy.... Iamhappy.... I am happy."
K,kindergarten,RF.K.1d,RF.K.1d-Q4,multiple_choice,audio/kindergarten/RF.K.1d/RF.K.1d-Q4.mp3,"Which of these letters is the letter P?

R... F... P... B"
K,kindergarten,RF.K.1d,RF.K.1d-Q5,multiple_choice,audio/kindergarten/RF.K.1d/RF.K.1d-Q5.mp3,"Which choice shows the uppercase letter P?

R... B... P... D"
K,kindergarten,RF.K.2a,RF.K.2a-Q1,multiple_choice,audio/kindergarten/RF.K.2a/RF.K.2a-Q1.mp3,"Which two words rhyme?

Pot and pan... Dog and log... Cat and rug... Sun and moon"
K,kindergarten,RF.K.2a,RF.K.2a-Q2,multiple_choice,audio/kindergarten/RF.K.2a/RF.K.2a-Q2.mp3,"Which pair of words rhymes?

Pig, Box... Fan, Can... Sun, Moon... Tree, Flower"
K,kindergarten,RF.K.2a,RF.K.2a-Q3,multiple_choice,audio/kindergarten/RF.K.2a/RF.K.2a-Q3.mp3,"Which word rhymes with 'ball'?

tree... boat... tall... house"
K,kindergarten,RF.K.2a,RF.K.2a-Q5,multiple_choice,audio/kindergarten/RF.K.2a/RF.K.2a-Q5.mp3,"Look at these words: 'sun,' 'fun,' 'run.' Which word below does NOT rhyme with them?

Bun... Pun... Pig... Gun"
K,kindergarten,RF.K.2d,RF.K.2d-Q1,multiple_choice,audio/kindergarten/RF.K.2d/RF.K.2d-Q1.mp3,"Which word has the /i/ sound in the middle?

bed... sun... pig... cat"
K,kindergarten,RF.K.2d,RF.K.2d-Q2,multiple_choice,audio/kindergarten/RF.K.2d/RF.K.2d-Q2.mp3,"Listen carefully to the word 'pig'. Which sound do you hear in the middle of the word 'pig'?

The sound you hear in the middle of 'cup'... The sound you hear in the middle of 'cat'... The sound you hear in the middle of 'mop'... The sound you hear in the middle of 'fish'"
K,kindergarten,RF.K.2e,RF.K.2e-Q2,multiple_choice,audio/kindergarten/RF.K.2e/RF.K.2e-Q2.mp3,"Let's play with sounds! Say the word 'map'. Now, change the very first sound, /m/, to the /t/ sound. What new word do you hear?

cap... sap... tap... mad"
K,kindergarten,RF.K.2e,RF.K.2e-Q3,multiple_choice,audio/kindergarten/RF.K.2e/RF.K.2e-Q3.mp3,"Look at these pairs of words. In which pair was a new word made by changing only one sound?

sun, moon... jump, run... cat, hat... big, small"
K,kindergarten,RF.K.2e,RF.K.2e-Q4,multiple_choice,audio/kindergarten/RF.K.2e/RF.K.2e-Q4.mp3,"Listen to the word 'dog'. If you change the middle sound, /o/, to the /i/ sound, what new word do you make?

Dig... Dag... Doggy... Dot"
K,kindergarten,RF.K.2e,RF.K.2e-Q5,multiple_choice,audio/kindergarten/RF.K.2e/RF.K.2e-Q5.mp3,"Imagine you have the word 'op'. If you put the sound /h/ at the beginning, what new word do you create?

mop... top... hop... pop"
K,kindergarten,RF.K.3b,RF.K.3b-Q1,multiple_choice,audio/kindergarten/RF.K.3b/RF.K.3b-Q1.mp3,"The word ""cake"" has a long 'a' sound, and ""cat"" has a short 'a' sound. Now, look at the word ""rake"". What kind of 'a' sound do you hear in ""rake""?

a short 'e' sound, like in 'bed'... a short 'a' sound, like in 'cat'... a long 'a' sound, like in 'cake'... a long 'i' sound, like in 'kite'"
K,kindergarten,RF.K.3b,RF.K.3b-Q3,multiple_choice,audio/kindergarten/RF.K.3b/RF.K.3b-Q3.mp3,"Three of these words have a LONG **o** sound. Which word has a DIFFERENT vowel sound?

rope... home... fox... bone"
K,kindergarten,RF.K.3c,RF.K.3c-Q5,multiple_choice,audio/kindergarten/RF.K.3c/RF.K.3c-Q5.mp3,"Choose the sight word that best completes the sentence: The boys ___ happy.

is... do... are... my"
K,kindergarten,RF.K.3d,RF.K.3d-Q3,multiple_choice,audio/kindergarten/RF.K.3d/RF.K.3d-Q3.mp3,"Listen to the words MAP and MOP. Which sound changes in the middle of these words?

The /p/ sound... The /m/ sound... The /a/ sound to the /o/ sound... The /t/ sound"
K,kindergarten,RF.K.4,RF.K.4-Q4,multiple_choice,audio/kindergarten/RF.K.4/RF.K.4-Q4.mp3,"When the sun is out and it's time to play, what part of the day is it?

Nighttime... Evening... Daytime... Morning"
K,kindergarten,K.L.1,K.L.1-Q2,multiple_choice,audio/kindergarten/K.L.1/K.L.1-Q2.mp3,"Which word in the sentence 'The fish swims in the water' tells what the fish does?

water... fish... swims... the"
K,kindergarten,K.L.1,K.L.1-Q5,multiple_choice,audio/kindergarten/K.L.1/K.L.1-Q5.mp3,"The cat is hiding ___ the bed.

on... in... under... over"
K,kindergarten,K.L.2,K.L.2-Q3,multiple_choice,audio/kindergarten/K.L.2/K.L.2-Q3.mp3,"Look at the sentence: ""Do you like apples"" Which mark belongs at the very end?

a period (.)... a comma (,)... an exclamation mark (!)... a question mark (?)"
K,kindergarten,K.L.2,K.L.2-Q4,multiple_choice,audio/kindergarten/K.L.2/K.L.2-Q4.mp3,"Look at this sentence: ""My friend is named sam."" Which word needs a capital letter?

My... friend... is... sam"
K,kindergarten,K.L.5,K.L.5-Q1,multiple_choice,audio/kindergarten/K.L.5/K.L.5-Q1.mp3,"Apple, banana, and orange are alike. Which word is also like them?

A) pencil... B) cat... C) grape... D) carrot"
K,kindergarten,K.L.6,K.L.6-Q5,multiple_choice,audio/kindergarten/K.L.6/K.L.6-Q5.mp3,"When the leaves turn red and yellow and gently fall to the ground, what is another word we can use for this time of year?

spring... summer... winter... autumn"
K,kindergarten,RL.K.10,RL.K.10-Q1,multiple_choice,audio/kindergarten/RL.K.10/RL.K.10-Q1.mp3,"What is one way to show you are actively listening during group story time?

Talking to your friend next to you.... Looking at the pictures in the book as the teacher reads.... Standing up and walking around.... Thinking about what you will do after school."
K,kindergarten,RL.K.10,RL.K.10-Q3,multiple_choice,audio/kindergarten/RL.K.10/RL.K.10-Q3.mp3,"In the story about the little bear, what did the bear want to find?

Some sweet berries.... A big fish.... A warm bed.... A shiny toy."
K,kindergarten,RL.K.10,RL.K.10-Q4,multiple_choice,audio/kindergarten/RL.K.10/RL.K.10-Q4.mp3,"What is one way you can show you understand a story during group reading time?

Talk about a different book you read yesterday.... Ask a question about what happened in the story.... Look at the wall instead of the book.... Keep quiet and not say anything at all."
K,kindergarten,RL.K.10,RL.K.10-Q5,multiple_choice,audio/kindergarten/RL.K.10/RL.K.10-Q5.mp3,"How can you show you are actively engaged when your teacher is reading a story to the whole class?

Close your eyes and rest... Talk to your friend about your lunch... Answer questions about the story... Look at the clock on the wall"
K,kindergarten,RI.K.10,RI.K.10-Q1,multiple_choice,audio/kindergarten/RI.K.10/RI.K.10-Q1.mp3,"If we read a fact book that showed us pictures of lions, tigers, and bears, what would be the main topic of that book?

How to build a house... What plants need to grow... Wild animals... How to cook dinner"
K,kindergarten,RI.K.10,RI.K.10-Q2,multiple_choice,audio/kindergarten/RI.K.10/RI.K.10-Q2.mp3,"You are reading a fact book about bugs with your group. What is a good way to actively engage with the book?

Tell your friend a secret joke.... Ask your teacher a question about a bug in the book.... Close your eyes and listen to music.... Draw a picture of a flower on your hand."
K,kindergarten,RI.K.10,RI.K.10-Q3,multiple_choice,audio/kindergarten/RI.K.10/RI.K.10-Q3.mp3,"Your teacher is reading a book to help everyone learn about different animals. What is the best way to show you are learning?

Close your eyes and try to guess what happens next.... Talk to your friend about playing outside later.... Look at the pictures and listen carefully to the words about animals.... Draw a picture of your favorite toy while the teacher reads."
K,kindergarten,RI.K.10,RI.K.10-Q4,multiple_choice,audio/kindergarten/RI.K.10/RI.K.10-Q4.mp3,"When your group reads a fact book, what is a good way to learn new things together?

Only look at the words, not the pictures.... Keep all your good ideas quiet inside your head.... Talk about the interesting pictures with your friends.... Quickly turn all the pages without stopping."
K,kindergarten,RI.K.10,RI.K.10-Q5,multiple_choice,audio/kindergarten/RI.K.10/RI.K.10-Q5.mp3,"Your class read a book about penguins together. What did the book teach you about where penguins usually live?

In warm, sandy deserts... In hot, wet jungles... High up in tall trees... In very cold places"
1st,1st-grade,RL.1.1,RL.1.1-Q1,multiple_choice,audio/1st-grade/RL.1.1/RL.1.1-Q1.mp3,"After Bella picked the apples, what did she do next?

She put them in her basket.... She ate them for a snack.... She left them on the tree.... She gave them to her mom."
1st,1st-grade,RL.1.1,RL.1.1-Q5,multiple_choice,audio/1st-grade/RL.1.1/RL.1.1-Q5.mp3,"Why was the kitten scared?

It saw a big, scary dog.... It was sleepy and wanted to nap.... It could not get down from the tall tree.... It wanted to climb even higher."
1st,1st-grade,RL.1.2,RL.1.2-Q4,multiple_choice,audio/1st-grade/RL.1.2/RL.1.2-Q4.mp3,"What lesson can we learn from Leo's story?

Bikes are only for big kids.... If you keep trying, you can learn new things.... It is fun to fall down.... You should always listen to your mom."
1st,1st-grade,RL.1.3,RL.1.3-Q1,multiple_choice,audio/1st-grade/RL.1.3/RL.1.3-Q1.mp3,"Which words best describe where the old woman lives?

A. A big house in a forest.... B. A big house near a mountain.... C. A small house near the ocean.... D. A small house in a big city."
1st,1st-grade,RL.1.3,RL.1.3-Q4,multiple_choice,audio/1st-grade/RL.1.3/RL.1.3-Q4.mp3,"Which major event began the story about Rosa?

Rosa gave the puppy water.... Rosa found the puppy's owner.... Rosa found a lost puppy.... Rosa played with her friends."
1st,1st-grade,RL.1.4,RL.1.4-Q1,multiple_choice,audio/1st-grade/RL.1.4/RL.1.4-Q1.mp3,"The bright sun warmed her face.

face... Bright... sun... her"
1st,1st-grade,RL.1.5,RL.1.5-Q6,category_sort,audio/1st-grade/RL.1.5/RL.1.5-Q6.mp3,Sort each description into the right category!
1st,1st-grade,RL.1.6,RL.1.6-Q3,multiple_choice,audio/1st-grade/RL.1.6/RL.1.6-Q3.mp3,"Who is telling you that Maria said, ""I love pizza!""?

Maria's mom... The narrator... Maria... The pizza maker"
1st,1st-grade,RL.1.6,RL.1.6-Q5,multiple_choice,audio/1st-grade/RL.1.6/RL.1.6-Q5.mp3,"In the sentence, """"Let's go!"" shouted Tom,"" who is telling us that Tom shouted?

Lily... The person telling the story... Tom... Tom's mom"
1st,1st-grade,RL.1.7,RL.1.7-Q3,multiple_choice,audio/1st-grade/RL.1.7/RL.1.7-Q3.mp3,"The story says, ""The dog was big."" Look at the picture that goes with the story. What does the picture help you understand about how big the dog is?

A. The dog is small enough to fit in a basket.... B. The dog is about the same height as the boy.... C. The dog is sleeping on the floor.... D. The dog is much smaller than the boy."
1st,1st-grade,RL.1.7,RL.1.7-Q4,multiple_choice,audio/1st-grade/RL.1.7/RL.1.7-Q4.mp3,"Imagine a picture in the story shows a bunny with a big smile, a small backpack, and eyes looking towards a tall, snowy mountain. Using this picture, what can we best describe about the bunny?

The bunny is tired and wants to rest.... The bunny is hungry for a snack.... The bunny is excited to go on a trip.... The bunny is afraid of the mountain."
1st,1st-grade,RL.1.9,RL.1.9-Q1,multiple_choice,audio/1st-grade/RL.1.9/RL.1.9-Q1.mp3,"What is different about how the bear and the bee experience honey in their stories?

The bear enjoys eating honey, and the bee enjoys flying near it.... Both the bear and the bee collect honey for their families.... The bear wants to find honey, while the bee works to make honey.... The bear shares honey, and the bee hides honey."
1st,1st-grade,RL.1.9,RL.1.9-Q4,multiple_choice,audio/1st-grade/RL.1.9/RL.1.9-Q4.mp3,"Leo went to the park and played on the swings. His friend Mia went to the playground and played on the slide. How were Leo's and Mia's adventures the same?

They both played on swings.... They both played inside a house.... They both played outside.... They both built a sandcastle."
1st,1st-grade,RL.1.9,RL.1.9-Q5,multiple_choice,audio/1st-grade/RL.1.9/RL.1.9-Q5.mp3,"In our story, a little bird named Pip loves to fly high in the sky. A little rabbit named Fluffy loves to dig tunnels deep in the ground. What is one way Pip and Fluffy are *different*?

They are both animals.... Pip likes to fly, and Fluffy likes to dig.... They both like to play.... Pip is small, and Fluffy is big."
1st,1st-grade,RI.1.1,RI.1.1-Q1,multiple_choice,audio/1st-grade/RI.1.1/RI.1.1-Q1.mp3,"Based on the text, what kind of weather do penguins like?

Rainy and windy weather... Warm and wet weather... Hot and sunny weather... Snowy and icy weather"
1st,1st-grade,RI.1.2,RI.1.2-Q3,multiple_choice,audio/1st-grade/RI.1.2/RI.1.2-Q3.mp3,"Which detail about cats is shared in the text?

Cats have long tails.... Cats like to sleep a lot.... Cats like to chase mice.... Cats enjoy climbing trees."
1st,1st-grade,RI.1.3,RI.1.3-Q4,multiple_choice,audio/1st-grade/RI.1.3/RI.1.3-Q4.mp3,"How does the text show the connection between George Washington leading the army and being president?

He led the army after he was president.... He led the army before he was president.... He led the army at the same time he was president.... The text does not tell us how they are connected."
1st,1st-grade,RI.1.3,RI.1.3-Q5,multiple_choice,audio/1st-grade/RI.1.3/RI.1.3-Q5.mp3,"The passage tells us about the caterpillar's big change. What does the caterpillar do right after eating to get ready for this change?

It makes a cocoon.... It flies away.... It finds new friends.... It sleeps in the sun."
1st,1st-grade,RI.1.4,RI.1.4-Q4,multiple_choice,audio/1st-grade/RI.1.4/RI.1.4-Q4.mp3,"The text says, ""A fish's habitat is water."" What does the word 'habitat' mean?

How fast a fish can swim... The place where a fish lives... What a fish likes to eat... Where a fish goes to play"
1st,1st-grade,RI.1.4,RI.1.4-Q6,tap_to_pair,audio/1st-grade/RI.1.4/RI.1.4-Q6.mp3,Match each word to its meaning!
1st,1st-grade,RI.1.4,RI.1.4-Q3,multiple_choice,audio/1st-grade/RI.1.4/RI.1.4-Q3.mp3,"Dolphins need to find food even when the water is very dark. They use echolocation. This helps them send out sounds that bounce back, showing them where fish are hiding.

A: swimming very fast... B: making loud noises to scare fish away... C: using sounds to find things... D: sleeping quietly in the water"
1st,1st-grade,RI.1.4,RI.1.4-Q7,multiple_choice,audio/1st-grade/RI.1.4/RI.1.4-Q7.mp3,"A squirrel lives in a tree. A fish lives in the water. A bird lives in a nest. What does the word 'habitat' mean when it says, 'Each animal has its own special habitat'?

A) A kind of food... B) A game an animal plays... C) The place where an animal lives... D) A sound an animal makes"
1st,1st-grade,RI.1.4,RI.1.4-Q8,multiple_choice,audio/1st-grade/RI.1.4/RI.1.4-Q8.mp3,"The hermit crab needed a new shell because it had outgrown its old one. If you wanted to understand what 'outgrown' means, which question would help you the most?

What color was the old shell?... Was the crab too big for its old shell?... Did the crab like its old shell?... Where did the crab find its new shell?"
1st,1st-grade,RI.1.4,RI.1.4-Q11,multiple_choice,audio/1st-grade/RI.1.4/RI.1.4-Q11.mp3,"The passage says starfish can regenerate. If a starfish loses an arm, what can it do next?

It can hide from danger.... It can swim faster to escape.... It can grow a new arm.... It can change its color."
1st,1st-grade,RI.1.6,RI.1.6-Q4,multiple_choice,audio/1st-grade/RI.1.6/RI.1.6-Q4.mp3,"You are reading a book about flowers. The words say, 'Flowers are pretty. They grow tall and have colorful petals.' The picture next to the words shows a flower with its roots under the ground. What can you learn only from the picture?

Flowers are pretty.... Flowers grow tall.... Flowers have roots.... Flowers have colorful petals."
1st,1st-grade,RI.1.7,RI.1.7-Q3,multiple_choice,audio/1st-grade/RI.1.7/RI.1.7-Q3.mp3,"Imagine a map in a book about lions. It shows Africa with different colored areas. Next to the map, a small box, called a key, tells what each color stands for. This map helps you understand:

What sounds lions make.... The kinds of food lions eat.... Where in Africa lions can be found.... How big a lion's family is."
1st,1st-grade,RI.1.7,RI.1.7-Q5,multiple_choice,audio/1st-grade/RI.1.7/RI.1.7-Q5.mp3,"Imagine you are reading an informational book about animals. On one page, there is a big picture of a lion with a shaggy mane. The words on that page say, 'Lions are powerful cats that live in Africa.' What does the picture help you understand about lions?

Where lions sleep at night.... That lions like to be alone.... What a powerful cat with a shaggy mane looks like.... How many cubs a lion has."
1st,1st-grade,RI.1.8,RI.1.8-Q3,multiple_choice,audio/1st-grade/RI.1.8/RI.1.8-Q3.mp3,"What reason does the author give to show why kids should eat vegetables?

A. Vegetables taste sweet.... B. Vegetables have vitamins that help you grow strong.... C. Kids like to share food.... D. Growing taller is fun."
1st,1st-grade,RI.1.9,RI.1.9-Q2,multiple_choice,audio/1st-grade/RI.1.9/RI.1.9-Q2.mp3,"Book 1 says the sun is a big star. Book 2 says the sun is a star in the sky. What do both books agree about the sun?

The sun is hot.... The sun is a star.... The sun is small.... The sun is blue."
1st,1st-grade,RI.1.9,RI.1.9-Q4,multiple_choice,audio/1st-grade/RI.1.9/RI.1.9-Q4.mp3,"Book 1 tells how rain forms in the sky. Book 2 tells why plants need rain to grow. What is one way these two books are similar?

They both have pictures of animals.... They both are about rain.... They both tell about plants.... They both talk about the sun."
1st,1st-grade,RI.1.9,RI.1.9-Q5,multiple_choice,audio/1st-grade/RI.1.9/RI.1.9-Q5.mp3,"Read about Max and Lucy.Max is a big dog. He has brown fur.Lucy is a small dog. She has white fur.What is one thing that is the SAME about Max and Lucy?

Max is big.... Lucy has white fur.... They are both small.... They are both dogs."
1st,1st-grade,RF.1.1a,RF.1.1a-Q5,multiple_choice,audio/1st-grade/RF.1.1a/RF.1.1a-Q5.mp3,"Which sentence needs a capital letter at the beginning?

A) My dog barks.... B) do you like to play?... C) We went to the park.... D) Look at the big tree!"
1st,1st-grade,RF.1.2d,RF.1.2d-Q1,multiple_choice,audio/1st-grade/RF.1.2d/RF.1.2d-Q1.mp3,"Listen carefully to the word ""ship"". Which choice shows all the individual sounds you hear?

s-h-i-p... sh-i-p... shi-p... s-hi-p"
1st,1st-grade,RF.1.2d,RF.1.2d-Q2,multiple_choice,audio/1st-grade/RF.1.2d/RF.1.2d-Q2.mp3,"Listen carefully to the word **ship**. Which choice shows each single sound you hear?

s, h, i, p... s, hi, p... sh, i, p... sh, ip"
1st,1st-grade,RF.1.2d,RF.1.2d-Q3,multiple_choice,audio/1st-grade/RF.1.2d/RF.1.2d-Q3.mp3,"Imagine you are saying the word **bug** very slowly, stretching out each sound. Which choice shows the sounds you would make, one by one?

/bu/ /g/... /b/ /a/ /g/... /b/ /u/ /g/... /b/ /ug/"
1st,1st-grade,RF.1.2d,RF.1.2d-Q5,multiple_choice,audio/1st-grade/RF.1.2d/RF.1.2d-Q5.mp3,"Your teacher asks you to say each separate sound you hear in the word **jump**. Which choice shows all the sounds you would say?

/j/ /u/ /mp/... /j/ /u/ /m/ /p/... /ju/ /mp/... /jum/ /p/"
1st,1st-grade,RF.1.4b,RF.1.4b-Q3,multiple_choice,audio/1st-grade/RF.1.4b/RF.1.4b-Q3.mp3,"Which of these describes how a good reader sounds when they read a story out loud?

They read every word in a flat voice, all at the same speed.... They read so fast that it's hard to understand what they are saying.... They read with a voice that changes for different parts and takes short breaks at commas.... They read each word very, very slowly, one by one."
1st,1st-grade,RF.1.4b,RF.1.4b-Q5,multiple_choice,audio/1st-grade/RF.1.4b/RF.1.4b-Q5.mp3,"A teacher asks a student to ""read this story with more expression."" What does the teacher want the student to do?

Read all the words very fast.... Skip over some of the words.... Use their voice to make the story sound exciting or sad.... Read all the words in a quiet, flat voice."
1st,1st-grade,RF.1.4c,RF.1.4c-Q2,multiple_choice,audio/1st-grade/RF.1.4c/RF.1.4c-Q2.mp3,"You read the sentence: ""The cat sat on the map."" Which word would make the sentence make more sense?

man... mop... mat... mom"
